Batch Size,Epochs,Dropout,LR,LSTM1,LSTM2,Dense,Optimizer,Precision,Recall,F1-Score,Test Accuracy
64,50,0.3,0.0001,128,64,32,adam,0.5527506206055998,0.5554635761589404,0.5527818031299637,0.5554635524749756
64,50,0.3,0.0001,128,64,32,rmsprop,0.5249246020966963,0.5190397350993378,0.5188864726637951,0.5190397500991821
64,50,0.3,0.0001,128,64,64,adam,0.5493083664604356,0.5504966887417219,0.5497035808213392,0.5504966974258423
64,50,0.3,0.0001,128,64,64,rmsprop,0.5445008246550165,0.5471854304635762,0.5447102084305809,0.5471854209899902
64,50,0.3,0.0001,128,128,32,adam,0.5056552572865389,0.49834437086092714,0.4970233553793232,0.498344361782074
64,50,0.3,0.0001,128,128,32,rmsprop,0.5428005856296427,0.5471854304635762,0.5412997423681831,0.5471854209899902
64,50,0.3,0.0001,128,128,64,adam,0.5401072327134966,0.5447019867549668,0.5385019455111687,0.5447019934654236
64,50,0.3,0.0001,128,128,64,rmsprop,0.5416984299159237,0.5463576158940397,0.5397956306301346,0.5463576316833496
64,50,0.3,0.0001,256,64,32,adam,0.5430439966474248,0.5447019867549668,0.5434919459685253,0.5447019934654236
64,50,0.3,0.0001,256,64,32,rmsprop,0.5497070878714393,0.5504966887417219,0.5500172905303506,0.5504966974258423
64,50,0.3,0.0001,256,64,64,adam,0.5215290084880142,0.5165562913907285,0.5167683281050307,0.5165562629699707
64,50,0.3,0.0001,256,64,64,rmsprop,0.5455571021364768,0.5480132450331126,0.5458478059965268,0.5480132699012756
64,50,0.3,0.0001,256,128,32,adam,0.5157981581822642,0.5240066225165563,0.5112026670076424,0.5240066051483154
64,50,0.3,0.0001,256,128,32,rmsprop,0.5353717998816904,0.5413907284768212,0.5312336287427908,0.5413907170295715
64,50,0.3,0.0001,256,128,64,adam,0.5434510894934333,0.5455298013245033,0.5438636051798454,0.5455297827720642
64,50,0.3,0.0001,256,128,64,rmsprop,0.5377828662953978,0.5422185430463576,0.536636645040614,0.5422185659408569
64,50,0.3,0.0003,128,64,32,adam,0.5361478597505144,0.5339403973509934,0.5345441433582708,0.5339403748512268
64,50,0.3,0.0003,128,64,32,rmsprop,0.5255338171847077,0.5322847682119205,0.521801389800068,0.5322847962379456
64,50,0.3,0.0003,128,64,64,adam,0.5217249316238511,0.49503311258278143,0.4612632194117331,0.4950331151485443
64,50,0.3,0.0003,128,64,64,rmsprop,0.552422401685205,0.5562913907284768,0.5509686546104119,0.556291401386261
64,50,0.3,0.0003,128,128,32,adam,0.531066122117569,0.5331125827814569,0.5315638259997446,0.5331125855445862
64,50,0.3,0.0003,128,128,32,rmsprop,0.5314617543067961,0.5347682119205298,0.5316169092561769,0.5347682237625122
64,50,0.3,0.0003,128,128,64,adam,0.5160445851842513,0.4925496688741722,0.4629619177716796,0.4925496578216553
64,50,0.3,0.0003,128,128,64,rmsprop,0.5436170479630745,0.5463576158940397,0.5438146190351462,0.5463576316833496
64,50,0.3,0.0003,256,64,32,adam,0.5255636616079753,0.5306291390728477,0.5245282521439851,0.5306291580200195
64,50,0.3,0.0003,256,64,32,rmsprop,0.5203286873510657,0.5298013245033113,0.5108161314151762,0.5298013091087341
64,50,0.3,0.0003,256,64,64,adam,0.5299204308038798,0.5314569536423841,0.530404374175007,0.5314569473266602
64,50,0.3,0.0003,256,64,64,rmsprop,0.5326103898373202,0.5182119205298014,0.5109609494091398,0.5182119011878967
64,50,0.3,0.0003,256,128,32,adam,0.5278310659617549,0.5298013245033113,0.5283476335747785,0.5298013091087341
64,50,0.3,0.0003,256,128,32,rmsprop,0.5248436452570553,0.5298013245033113,0.5239745090203243,0.5298013091087341
64,50,0.3,0.0003,256,128,64,adam,0.527926613419557,0.5331125827814569,0.5265583027287153,0.5331125855445862
64,50,0.3,0.0003,256,128,64,rmsprop,0.523935664239265,0.5289735099337748,0.5230420439428523,0.5289735198020935
64,50,0.3,0.0005,128,64,32,adam,0.5431575926620038,0.543046357615894,0.5431004920320325,0.5430463552474976
64,50,0.3,0.0005,128,64,32,rmsprop,0.5122117511709754,0.48923841059602646,0.4581123312823193,0.4892384111881256
64,50,0.3,0.0005,128,64,64,adam,0.5430747417791685,0.5422185430463576,0.5425633113443656,0.5422185659408569
64,50,0.3,0.0005,128,64,64,rmsprop,0.5442656023858603,0.5488410596026491,0.5422176617846952,0.5488410592079163
64,50,0.3,0.0005,128,128,32,adam,0.5337231212770566,0.5355960264900662,0.5342116274512226,0.5355960130691528
64,50,0.3,0.0005,128,128,32,rmsprop,0.5261056570711281,0.5314569536423841,0.5246794287165258,0.5314569473266602
64,50,0.3,0.0005,128,128,64,adam,0.5341078742870268,0.5364238410596026,0.5345564699704902,0.5364238619804382
64,50,0.3,0.0005,128,128,64,rmsprop,0.5307001402679467,0.5322847682119205,0.5311869643750688,0.5322847962379456
64,50,0.3,0.0005,256,64,32,adam,0.5471934411073123,0.5405629139072847,0.5402200229180157,0.5405629277229309
64,50,0.3,0.0005,256,64,32,rmsprop,0.5231764133304451,0.5289735099337748,0.5214333706328881,0.5289735198020935
64,50,0.3,0.0005,256,64,64,adam,0.5260330031318385,0.5306291390728477,0.525451032805976,0.5306291580200195
64,50,0.3,0.0005,256,64,64,rmsprop,0.5252248581063604,0.5298013245033113,0.5247026069574854,0.5298013091087341
64,50,0.3,0.0005,256,128,32,adam,0.5313252558699579,0.5215231788079471,0.5188733862855227,0.5215231776237488
64,50,0.3,0.0005,256,128,32,rmsprop,0.5254706670410664,0.5306291390728477,0.5243351104665895,0.5306291580200195
64,50,0.3,0.0005,256,128,64,adam,0.5301335976221071,0.5314569536423841,0.5305864025277183,0.5314569473266602
64,50,0.3,0.0005,256,128,64,rmsprop,0.5350187670721402,0.5364238410596026,0.5354737821942337,0.5364238619804382
