Contract ID,Timestamp,Balance,Current candle open,Previous candle open,Oldest candle open,MACD line,Signal line,Market Condition Start,Market Condition End,RF Decision,RF Confidence,XGB Decision,XGB Confidence,Final Decision,Profit/Loss,New Balance,Status,AI Correct
00384627-0055-311e-0000-000082571528,07:52:31.994966,482.17,19757.6,19782.8,19799.1,4.30,3.00,"Uptrend, High","{'trend': 'Uptrend', 'volatiliteit': 'High'}",BUY,0.82,BUY,0.9149258,0.0,-2.57,Take Profit,False,N/A
00384627-0055-311e-0000-000082571925,08:47:46.711256,-2.57,19683.2,19716.8,19731.4,-34.10,-10.10,"Uptrend, High","{'trend': 'Uptrend', 'volatiliteit': 'High'}",SELL,0.93625,SELL,0.9200109,0.0,482.43,Take Profit,False,N/A
00384627-0055-311e-0000-000082572f35,13:38:51.918610,482.43,19691.4,19724.4,19748.1,-6.90,-5.10,"Uptrend, High","{'trend': 'Downtrend', 'volatiliteit': 'High'}",SELL,0.93625,SELL,0.9200109,0.0,-6.52,Take Profit,False,N/A
00384627-0055-311e-0000-0000825733b5,14:14:01.371476,-6.52,19729.4,19702.6,19672.6,-19.80,-11.30,"Downtrend, High","{'trend': 'Uptrend', 'volatiliteit': 'High'}",SELL,0.93625,SELL,0.9200109,0.0,497.64,Take Profit,False,N/A
00384627-0055-311e-0000-000082573940,14:39:08.763014,497.64,19724.6,19652.4,19713.8,-17.10,-12.60,"Downtrend, High","{'trend': 'Downtrend', 'volatiliteit': 'High'}",SELL,0.93625,SELL,0.9200109,0.0,-7.17,Take Profit,False,N/A
00384627-0055-311e-0000-00008257408a,14:59:14.298731,-7.17,19672.6,19685.4,19717.3,-10.20,-14.80,"Uptrend, High","{'trend': 'Uptrend', 'volatiliteit': 'High'}",SELL,0.93625,SELL,0.9200109,0.0,521.71,Take Profit,False,N/A
00384627-0055-311e-0000-0000825749f8,15:19:20.490803,521.71,19507.2,19521.3,19566.8,-36.10,-18.10,"Uptrend, High","{'trend': 'Uptrend', 'volatiliteit': 'High'}",SELL,0.93625,SELL,0.9200109,0.0,-1.74,Take Profit,False,N/A
00384627-0055-311e-0000-000082574e52,15:34:25.204848,-1.74,19421.4,19453.6,19499.2,-66.70,-23.80,"Uptrend, High","{'trend': 'Uptrend', 'volatiliteit': 'High'}",SELL,0.93625,SELL,0.9200109,0.0,519.29,Take Profit,False,N/A
00384627-0055-311e-0000-000082575544,16:04:33.116075,519.29,19369.9,19410.3,19432.3,-133.60,-76.90,"Uptrend, High","{'trend': 'Uptrend', 'volatiliteit': 'High'}",SELL,0.93625,SELL,0.9200109,0.0,-6.69,Take Profit,False,N/A
00384627-0055-311e-0000-000082575721,16:14:36.874597,-6.69,19419.3,19386.6,19369.9,-134.10,-90.40,"Downtrend, High","{'trend': 'Uptrend', 'volatiliteit': 'High'}",SELL,0.93625,SELL,0.9200109,0.0,520.71,Take Profit,False,N/A
